Temp,Cp
324.636,24.7412
329.75,24.58
329.77,24.45
330.69,24.51
331.148,24.7969
331.81,24.59
331.99,24.47
333.15,24.754
334,25.12182
334.55,24.53
336.55,24.8609
341.41,24.69
342.508,24.9696
343.29,24.73
344,25.28337
346.802,25.0921
350,24.3
350,24.3
350.43,24.65
351.72,24.8
352.95,24.71
353.15,25.091
353.867,25.1533
354,25.44491
357.44,24.78
360.794,25.2119
365,25.49801
370,25.71378
370.353,25.4262
373,25.79285
373,25.30483
373.15,25.401
375.756,25.4959
377,25.65955
377.09,25.19
377.36,25.13
378.37,25.15
379.68,25.38
380.605,25.5516
386,25.87532
386.562,25.6769
391.549,25.7269
393.15,25.69
395,26.03686
396.26,25.7799
397.99,25.33
398,24.85296
400,25
400,25
402.078,25.8272
402.73,25.39
403,26.08996
404,25.49
405.27,25.49
406.927,25.8996
413,26.30573
413.15,25.96
413.299,25.9637
416.65,25.56
418,26.41305
423.551,26.0862
425,26.57459
428.954,26.1614
430,26.73614
433.15,26.216
433.51,25.97
434.78,25.89
435,26.89768
436.04,25.88
436.296,26.1837
442.808,26.1726
443,26.95078
444.747,26.3146
447,27.21964
449.76,25.92
450,25.7
450,25.7
451.674,26.3731
452,27.32696
453.15,26.448
455.969,26.4454
459,27.43541
461.926,26.4928
463.48,26.16
464,27.4885
464.73,26.24
465.98,26.25
468.852,26.5791
469,27.65005
473,26.88074
473,26.09561
473.15,26.65
475,27.70427
476.749,26.6265
481,27.86582
482.013,26.7156
486,27.97314
489.91,26.7518
493,28.02736
493.15,26.907
494.43,26.34
495.8,26.52
496.144,26.8131
497.02,26.41
500,28.02736
500,26.2
500,26.2
502.101,26.866
502.76,26.54
504,27.43541
504.61,26.45
505,28.13468
505.01,26.9774
505.68,26.49
506.77,26.71
509,27.59695
509.305,27.072
511,28.08046
513.15,27.142
516,27.59695
516.232,26.958
516.44,26.82
518,28.13468
521,27.75737
522.604,27.1194
523,28.242
523.48,26.66
524.67,26.9
525.84,26.85
526,26.99709
528,27.81159
530.03,26.84
531,28.18778
532,27.86582
532.718,27.2224
533.15,27.385
538,28.242
538,28.02736
538.398,27.2921
543.02,26.98
544,28.242
544,28.08046
544.26,27.05
545.186,27.3171
545.46,27.13
545.59,27.12
549.48,27.3367
550,28.34932
550,28.13468
550,26.7
550,26.7
551.1,27.03
552.07,27.22
553.15,27.622
554,27.36311
555,28.242
555.715,27.4369
557,28.40354
561.72,27.17
561.949,27.4731
562,28.29622
563,28.45664
566.936,27.5567
568,28.34932
570,28.51086
572.477,27.6096
573,27.96975
573,27.1688
573,28.45664
573.15,27.892
575.02,27.51
576.15,27.4
577.26,27.56
578,28.56509
578.157,27.6458
585,28.61818
585.31,27.58
588.686,27.7099
590,28.67241
593.15,28.154
593.535,27.7795
596,28.72663
600,28.83395
600,27.2
600,27.2
600.51,27.65
601.35,27.8
602.13,27.53
603,28.34932
604.895,27.877
606,28.88705
609.882,27.9549
610,28.94127
610.77,27.86
613.15,28.41
615,29.04859
616.393,28.0273
620,28.9955
624,29.10282
624.151,28.0803
624.38,28.07
625.39,28.06
629,29.21014
629.416,28.161
632.81,28.13
633.15,28.699
633.433,28.2111
634,29.26436
640,29.4259
644.101,28.342
645,29.37168
648,29.53322
650,27.8
650,27.8
651.582,28.395
652,29.479
653.11,28.22
653.15,28.998
654.12,28.3
655.09,28.34
656.846,28.4201
657,29.58632
660.02,28.53
663,29.64054
667,29.74786
673,29.10056
673,27.41733
673,29.80209
673.15,29.308
675.548,28.6066
680.95,28.54
681.78,28.55
682.69,28.61
682.752,28.6735
689.125,28.7264
691.896,28.8795
693.15,29.629
700,28.4
700,28.4
703.81,28.9019
710.9,28.89
711.55,28.88
711.568,28.9743
712.73,28.94
713.15,29.956
717.109,29.0884
724.175,29.0746
727.222,29.158
733.15,30.304
733.456,29.211
739.829,29.2527
741.11,29.41
743.12,29.3
743.99,29.39
746.894,29.3363
750,29
750,29
753.15,30.644
753.544,29.4171
764.073,29.5368
770.723,29.6259
771.38,29.71
772.27,29.67
773,30.18844
773.12,29.74
773.15,31
776,30.50362
777.095,29.6844
784.022,29.7541
792.196,29.8014
793.15,31.391
795.244,29.9573
800,29.7
800,29.7
801.45,30.12
801.67,30.04
802.43,30.3
804.387,30.013
806.881,30.1884
813.15,31.809
813.253,30.2664
825.18,30.64
825.86,30.4028
826.09,30.73
826.76,30.58
833.064,30.5838
833.15,32.268
837.22,30.7063
843.593,30.8177
848.303,30.9568
850,30.6
850,30.6
850.29,31.04
850.57,31.22
851.43,31.19
853.15,32.767
855.784,30.9904
862.849,31.1295
868.391,31.2854
873,31.27745
873.13,31.79
873.15,33.32
874.04,32.09
875.872,31.4553
885,32.84432
889.31,31.7922
893.15,33.9
897.068,31.9314
900,31.8
900,31.8
902.609,32.0929
910.506,32.2349
914.8,32.3574
922.42,32.6358
924,34.54336
927.13,32.9588
933.25,33.4
